authority_id,jurisdiction_id,official_name,authority_level,role,official_url,verification_status,retrieved_at,notes
authority:ca-eccc,jurisdiction:ca-federal,Environment and Climate Change Canada / Canadian Wildlife Service,FEDERAL,WILDLIFE_REGULATOR|MIGRATORY_BIRDS,https://www.canada.ca/en/environment-climate-change/services/migratory-game-bird-hunting.html,SOURCE_FOUND,2026-09-20,Federal migratory game bird authority
authority:ca-parks,jurisdiction:ca-federal,Parks Canada Agency,FEDERAL,FEDERAL_LANDS|WILDLIFE_REGULATOR,https://parks.canada.ca/,SOURCE_FOUND,2026-09-20,Park-specific hunting or population-management programs require separate permits and rules
authority:ca-ab-epa,jurisdiction:ca-ab,Alberta Environment and Protected Areas,PROVINCIAL,WILDLIFE_REGULATOR|GIS_PUBLISHER,https://www.alberta.ca/hunting-fishing-trapping,SOURCE_FOUND,2026-09-20,
authority:ca-bc-wlrs,jurisdiction:ca-bc,British Columbia Ministry of Water Land and Resource Stewardship,PROVINCIAL,WILDLIFE_REGULATOR|GIS_PUBLISHER,https://www2.gov.bc.ca/gov/content/sports-culture/recreation/fishing-hunting/hunting,SOURCE_FOUND,2026-09-20,
authority:ca-mb-nrif,jurisdiction:ca-mb,Manitoba Natural Resources and Indigenous Futures,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.gov.mb.ca/nrnd/fish-wildlife/wildlife/,SOURCE_FOUND,2026-09-20,
authority:ca-nb-nred,jurisdiction:ca-nb,New Brunswick Natural Resources,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING,https://www2.gnb.ca/content/gnb/en/departments/erd/fish-and-wildlife.html,SOURCE_FOUND,2026-09-20,Official pages also retain legacy department paths
authority:ca-nl-fal,jurisdiction:ca-nl,Newfoundland and Labrador Department of Forestry Agriculture and Lands,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.gov.nl.ca/fal/wildlife/,SOURCE_FOUND,2026-09-20,
authority:ca-nt-ecc,jurisdiction:ca-nt,Northwest Territories Environment and Climate Change,TERRITORIAL,WILDLIFE_REGULATOR|LICENSING,https://www.gov.nt.ca/ecc/en/services/hunting-trapping-and-harvesting,SOURCE_FOUND,2026-09-20,Co-management boards and Indigenous governments may also hold authority
authority:ca-ns-nr,jurisdiction:ca-ns,Nova Scotia Department of Natural Resources,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING,https://novascotia.ca/natr/hunt/,SOURCE_FOUND,2026-09-20,
authority:ca-nu-env,jurisdiction:ca-nu,Nunavut Department of Environment,TERRITORIAL,WILDLIFE_REGULATOR|LICENSING,https://www.gov.nu.ca/en/environment-and-wildlife/hunting-regulations-guide,SOURCE_FOUND,2026-09-20,Operates within Nunavut wildlife co-management system
