gis_source_id,jurisdiction_id,authority_id,zone_system,official_term,source_url,service_url,format,layer_id,coordinate_system,update_frequency,effective_version,licence_terms_url,retrieved_at,verification_status,notes
gis:ca-ab-wmu,jurisdiction:ca-ab,authority:ca-ab-epa,provincial_hunting,Wildlife Management Unit,https://www.alberta.ca/wildlife-management-units.aspx,,HTML_MAP,,,unknown,current,,2026-09-20,SOURCE_FOUND,Legal land descriptions control; machine-readable endpoint still needed
gis:ca-bc-mu,jurisdiction:ca-bc,authority:ca-bc-wlrs,provincial_hunting,Management Unit,https://catalogue.data.gov.bc.ca/dataset/wildlife-management-units,,OPEN_DATA_PORTAL,,,as_needed,current,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2026-09-20,DISCOVERED,Confirm download/service URL and schema before ingestion
gis:ca-mb-hunting-areas,jurisdiction:ca-mb,authority:ca-mb-nrif,provincial_hunting,Hunting Area,https://geoportal.gov.mb.ca/,,OPEN_DATA_PORTAL,,,unknown,current,https://geoportal.gov.mb.ca/pages/open-data-licence,2026-09-20,NEEDS_REVIEW,Dataset/service discovery queued
gis:ca-nb-wmz,jurisdiction:ca-nb,authority:ca-nb-nred,provincial_hunting,Wildlife Management Zone,https://geonb.snb.ca/geonb/,,OPEN_DATA_PORTAL,,,unknown,current,,2026-09-20,NEEDS_REVIEW,Dataset/service discovery queued
gis:ca-nl-management-areas,jurisdiction:ca-nl,authority:ca-nl-fal,species_specific,"Moose/Caribou/Black Bear Management Area",https://www.gov.nl.ca/fal/public-education/wildlife/hunting/boundry/,,HTML_MAP,,,annual,2026-2027,,2026-09-20,SOURCE_FOUND,Do not combine species-specific area systems
gis:ca-nt-wildlife-areas,jurisdiction:ca-nt,authority:ca-nt-ecc,territorial_hunting,Wildlife Management Unit/Area,https://www.gov.nt.ca/ecc/en/services/hunting-trapping-and-harvesting,,PORTAL,,,annual,2026-2027,,2026-09-20,NEEDS_REVIEW,Official downloadable geometry not yet located
gis:ca-ns-hunting-zones,jurisdiction:ca-ns,authority:ca-ns-nr,species_specific,"Deer/Bear/Moose Management Zone",https://novascotia.ca/natr/hunt/regulations/,,HTML_MAP,,,annual,current,,2026-09-20,SOURCE_FOUND,Separate species layers required
gis:ca-nu-hunting-areas,jurisdiction:ca-nu,authority:ca-nu-env,territorial_hunting,Hunting Area,https://www.gov.nu.ca/en/environment-and-wildlife/hunting-regulations-guide,,PDF_MAP,,,annual,2026-2027,,2026-09-20,SOURCE_FOUND,Co-management boundaries and beneficiary frameworks are separate layers
gis:ca-on-wmu,jurisdiction:ca-on,authority:ca-on-mnr,provincial_hunting,Wildlife Management Unit,https://geohub.lio.gov.on.ca/datasets/mnrf::wildlife-management-unit/about,,ARCGIS_PORTAL,,,unknown,current,https://www.ontario.ca/page/open-government-licence-ontario,2026-09-20,DISCOVERED,Confirm REST FeatureServer URL and fields before ingestion
gis:ca-pe-wma,jurisdiction:ca-pe,authority:ca-pe-ffw,conservation_area,Wildlife Management Area,https://www.princeedwardisland.ca/en/information/environment-energy-and-climate-action/wildlife-management-areas,,HTML_MAP,,,unknown,current,,2026-09-20,DISCOVERED,Not confirmed as a comprehensive hunting-rule unit layer
gis:ca-qc-zones,jurisdiction:ca-qc,authority:ca-qc-mffp,provincial_hunting,Zone de chasse,https://www.donneesquebec.ca/recherche/dataset/zones-de-chasse,,OPEN_DATA_PORTAL,,,unknown,current,https://www.donneesquebec.ca/licence/,2026-09-20,DISCOVERED,Confirm current dataset slug service URLs and official French field labels
gis:ca-sk-wmz,jurisdiction:ca-sk,authority:ca-sk-env,provincial_hunting,Wildlife Management Zone,https://gisappl.saskatchewan.ca/Html5Ext/index.html?viewer=habis,,WEB_MAP,,,unknown,current,,2026-09-20,DISCOVERED,Underlying service and licensing discovery queued
gis:ca-yt-gms,jurisdiction:ca-yt,authority:ca-yt-env,territorial_hunting,Game Management Subzone,https://open.yukon.ca/data/datasets/game-management-subzones,,OPEN_DATA_PORTAL,,,unknown,current,https://open.yukon.ca/open-government-licence-yukon,2026-09-20,DISCOVERED,Official page states 443 GMS grouped into 11 zones
gis:ca-eccc-atlantic-mgb,jurisdiction:ca-federal,authority:ca-eccc,migratory_birds,Migratory Bird Hunting District,https://open.canada.ca/data/en/dataset/,,OPEN_DATA_PORTAL,,,unknown,current,https://open.canada.ca/en/open-government-licence-canada,2026-09-20,NEEDS_REVIEW,Exact federal dataset URL required; Nova Scotia summary confirms geospatial data exists
gis:us-ak-gmu,jurisdiction:us-ak,authority:us-ak-adfg,state_hunting,Game Management Unit,https://www.adfg.alaska.gov/index.cfm?adfg=huntingmaps.gmumaps,,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-az-gmu,jurisdiction:us-az,authority:us-az-gfd,state_hunting,Game Management Unit,https://www.azgfd.com/hunting/units/,,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-co-gmu,jurisdiction:us-co,authority:us-co-cpw,state_hunting,Game Management Unit,https://geodata.colorado.gov/,,OPEN_DATA_PORTAL,,,unknown,current,,2026-09-20,NEEDS_REVIEW,Exact official dataset/service URL queued
gis:us-id-gmu,jurisdiction:us-id,authority:us-id-fg,state_hunting,Game Management Unit,https://idfg.idaho.gov/ifwis/maps,,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-me-wmd,jurisdiction:us-me,authority:us-me-ifw,state_hunting,Wildlife Management District,https://www.maine.gov/ifw/hunting-trapping/hunting-resources/wildlife-management-districts.html,,HTML_MAP,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-mt-districts,jurisdiction:us-mt,authority:us-mt-fwp,state_hunting,Hunting District,https://fwp.mt.gov/gis-data,,OPEN_DATA_PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-nm-gmu,jurisdiction:us-nm,authority:us-nm-dgf,state_hunting,Game Management Unit,https://www.wildlife.state.nm.us/hunting/maps/, ,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-ny-wmu,jurisdiction:us-ny,authority:us-ny-dec,state_hunting,Wildlife Management Unit,https://dec.ny.gov/nature/waterbodies/oceans-estuaries/managed-species/wildlife-management-units,,HTML_MAP,,,unknown,current,,2026-09-20,DISCOVERED,URL/title requires verification before ingestion
gis:us-or-wmu,jurisdiction:us-or,authority:us-or-odfw,state_hunting,Wildlife Management Unit,https://myodfw.com/articles/hunting-maps,,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-pa-wmu,jurisdiction:us-pa,authority:us-pa-pgc,state_hunting,Wildlife Management Unit,https://www.pgc.pa.gov/Wildlife/WildlifeManagementUnits/Pages/default.aspx,,HTML_MAP,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-ut-units,jurisdiction:us-ut,authority:us-ut-dwr,state_hunting,Unit,https://dwrapps.utah.gov/huntboundary/hbstart,,WEB_MAP,,,unknown,current,,2026-09-20,DISCOVERED,
gis:us-wa-gmu,jurisdiction:us-wa,authority:us-wa-wdfw,state_hunting,Game Management Unit,https://geo.wa.gov/,,OPEN_DATA_PORTAL,,,unknown,current,,2026-09-20,NEEDS_REVIEW,Exact WDFW dataset/service URL queued
gis:us-wy-hunt-areas,jurisdiction:us-wy,authority:us-wy-wgfd,state_hunting,Hunt Area,https://wgfd.wyo.gov/maps, ,PORTAL,,,unknown,current,,2026-09-20,DISCOVERED,
