coverage_id,jurisdiction_id,core_source_id,regulations_status,season_status,species_classification_status,licensing_status,management_unit_status,gis_availability,emergency_updates_status,migratory_overlap_status,reviewed_at,notes
coverage:ca-federal,jurisdiction:ca-federal,source:ca-eccc-mgb-2026-27,SOURCE_FOUND,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,SOURCE_FOUND,SOURCE_FOUND,2026-09-20,Federal migratory scope only; provincial and territorial rules also apply
coverage:ca-ab,jurisdiction:ca-ab,source:ca-ab-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Machine-readable WMU geometry not located
coverage:ca-bc,jurisdiction:ca-bc,source:ca-bc-synopsis-2024-26,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Open-data record found; download endpoint and schema still require validation
coverage:ca-mb,jurisdiction:ca-mb,source:ca-mb-hunting-2026,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:ca-nb,jurisdiction:ca-nb,source:ca-nb-hunt-trap,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:ca-nl,jurisdiction:ca-nl,source:ca-nl-guide-2026-27,SOURCE_FOUND,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Species-specific management areas cannot be merged
coverage:ca-nt,jurisdiction:ca-nt,source:ca-nt-summary-2026-27,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Harvest-rights overlays require separate treatment
coverage:ca-ns,jurisdiction:ca-ns,source:ca-ns-summary,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Species-specific zones
coverage:ca-nu,jurisdiction:ca-nu,source:ca-nu-guide-2026-27,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_PDF_MAP,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Co-management boundaries and beneficiary rules are separate dimensions
coverage:ca-on,jurisdiction:ca-on,source:ca-on-summary-2026,SOURCE_FOUND,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,SOURCE_FOUND,SOURCE_FOUND,2026-09-20,Official geohub record found; service endpoint unverified
coverage:ca-pe,jurisdiction:ca-pe,source:ca-pe-summary-2026,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,WMA map is not confirmed as complete hunting-unit coverage
coverage:ca-qc,jurisdiction:ca-qc,source:ca-qc-seasons-2026,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Official open-data record found; endpoint unverified
coverage:ca-sk,jurisdiction:ca-sk,source:ca-sk-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:ca-yt,jurisdiction:ca-yt,source:ca-yt-regulations-2026-27,SOURCE_FOUND,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,SOURCE_FOUND,SOURCE_FOUND,2026-09-20,Official open-data record found; service endpoint unverified
coverage:us-federal,jurisdiction:us-federal,source:us-fws-migratory,SOURCE_FOUND,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NOT_APPLICABLE,NEEDS_RESEARCH,SOURCE_FOUND,NOT_APPLICABLE,2026-09-20,Federal framework is not a substitute for state rules
coverage:us-al,jurisdiction:us-al,source:us-al-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ak,jurisdiction:us-ak,source:us-ak-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-az,jurisdiction:us-az,source:us-az-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ar,jurisdiction:us-ar,source:us-ar-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ca,jurisdiction:us-ca,source:us-ca-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-co,jurisdiction:us-co,source:us-co-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Official geodata portal found; exact layer unverified
