mapping_id,jurisdiction_id,official_term,normalized_group_id,included_species_ids,membership_status,authority_id,source_id,effective_period,verification_status,notes
mapping:ca-fed-migratory,jurisdiction:ca-federal,Migratory game birds,species_group:waterfowl|species_group:upland-game-birds,,PARTIAL,authority:ca-eccc,source:ca-eccc-mgb-2026-27,2026-2027,SOURCE_FOUND,Federal schedule membership must be resolved species by species
mapping:ca-ab-big-game,jurisdiction:ca-ab,Big game,species_group:ungulates|species_group:bears,species:elk|species:moose|species:white-tailed-deer|species:mule-deer|species:american-black-bear,PARTIAL,authority:ca-ab-epa,source:ca-ab-hunting,current_hub,NEEDS_REVIEW,Representative members only; do not infer omissions
mapping:ca-bc-big-game,jurisdiction:ca-bc,Big game,species_group:ungulates|species_group:bears,species:elk|species:moose|species:mule-deer|species:american-black-bear,PARTIAL,authority:ca-bc-wlrs,source:ca-bc-synopsis-2024-26,2024-2026,NEEDS_REVIEW,Black-tailed deer is retained under the mule-deer species entity; refresh against next synopsis
mapping:ca-mb-big-game,jurisdiction:ca-mb,Big game,species_group:ungulates|species_group:bears,species:elk|species:moose|species:white-tailed-deer|species:american-black-bear,PARTIAL,authority:ca-mb-nrif,source:ca-mb-hunting-2026,2026,NEEDS_REVIEW,Representative members only
mapping:ca-nb-game,jurisdiction:ca-nb,Game,species_group:ungulates|species_group:bears|species_group:small-game,,UNRESOLVED,authority:ca-nb-nred,source:ca-nb-hunt-trap,current_hub,NEEDS_REVIEW,Extract official subgroups before content use
mapping:ca-nl-big-game,jurisdiction:ca-nl,Big game,species_group:ungulates|species_group:bears,species:moose|species:caribou|species:american-black-bear,PARTIAL,authority:ca-nl-fal,source:ca-nl-guide-2026-27,2026-2027,SOURCE_FOUND,Species-specific areas remain separate
mapping:ca-nt-big-game,jurisdiction:ca-nt,Big game,species_group:ungulates|species_group:bears,species:caribou|species:moose|species:muskox|species:dall-sheep|species:american-black-bear,PARTIAL,authority:ca-nt-ecc,source:ca-nt-summary-2026-27,2026-2027,NEEDS_REVIEW,Harvest rights and residency classes must remain separate
mapping:ca-ns-game,jurisdiction:ca-ns,Game,species_group:ungulates|species_group:bears|species_group:small-game,,UNRESOLVED,authority:ca-ns-nr,source:ca-ns-summary,current,NEEDS_REVIEW,Extract official subgroups
mapping:ca-nu-big-game,jurisdiction:ca-nu,Big game,species_group:ungulates|species_group:bears,species:caribou|species:muskox|species:polar-bear,PARTIAL,authority:ca-nu-env,source:ca-nu-guide-2026-27,2026-2027,NEEDS_REVIEW,Co-management and beneficiary frameworks control access
mapping:ca-on-big-game,jurisdiction:ca-on,Big game,species_group:ungulates|species_group:bears,species:moose|species:white-tailed-deer|species:elk|species:american-black-bear,PARTIAL,authority:ca-on-mnr,source:ca-on-summary-2026,2026,SOURCE_FOUND,Representative membership from annual summary
mapping:ca-pe-game,jurisdiction:ca-pe,Game,species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:ca-pe-ffw,source:ca-pe-summary-2026,2026,NEEDS_REVIEW,Extract exact schedule membership
mapping:ca-qc-big-game,jurisdiction:ca-qc,Gros gibier,species_group:ungulates|species_group:bears,species:moose|species:white-tailed-deer|species:caribou|species:american-black-bear,PARTIAL,authority:ca-qc-mffp,source:ca-qc-seasons-2026,2026,NEEDS_REVIEW,French official terminology is authoritative
mapping:ca-sk-big-game,jurisdiction:ca-sk,Big game,species_group:ungulates|species_group:bears,species:elk|species:moose|species:white-tailed-deer|species:mule-deer|species:american-black-bear,PARTIAL,authority:ca-sk-env,source:ca-sk-hunting,current_hub,NEEDS_REVIEW,Representative members only
mapping:ca-yt-big-game,jurisdiction:ca-yt,Big game,species_group:ungulates|species_group:bears,species:caribou|species:moose|species:elk|species:dall-sheep|species:american-black-bear,PARTIAL,authority:ca-yt-env,source:ca-yt-regulations-2026-27,2026-2027,SOURCE_FOUND,Representative members from current regulation guide
mapping:us-fed-migratory,jurisdiction:us-federal,Migratory game birds,species_group:waterfowl|species_group:upland-game-birds,,PARTIAL,authority:us-fws,source:us-fws-migratory,current,SOURCE_FOUND,Federal framework overlaps state seasons and licensing
mapping:us-al-game,jurisdiction:us-al,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-al-dcnr,source:us-al-hunting,current_hub,NEEDS_REVIEW,Extract exact state classification
mapping:us-ak-big-game,jurisdiction:us-ak,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-ak-adfg,source:us-ak-hunting,current_hub,NEEDS_REVIEW,Unit and residency rules vary
mapping:us-az-big-game,jurisdiction:us-az,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-az-gfd,source:us-az-hunting,current_hub,NEEDS_REVIEW,Commission orders define operative membership
mapping:us-ar-game,jurisdiction:us-ar,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ar-agfc,source:us-ar-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ca-big-game,jurisdiction:us-ca,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-ca-cdfw,source:us-ca-hunting,current_hub,NEEDS_REVIEW,Title 14 controls legal definitions
mapping:us-co-big-game,jurisdiction:us-co,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-co-cpw,source:us-co-hunting,current_hub,NEEDS_REVIEW,Annual brochures and commission regulations overlap
mapping:us-ct-game,jurisdiction:us-ct,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ct-deep,source:us-ct-hunting,2026,NEEDS_REVIEW,
mapping:us-de-game,jurisdiction:us-de,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-de-dnrec,source:us-de-hunting,current_hub,NEEDS_REVIEW,
mapping:us-dc-game,jurisdiction:us-dc,Game,,,UNRESOLVED,authority:us-dc-doee,source:us-dc-wildlife,current,NEEDS_REVIEW,No recreational-hunting classification established
mapping:us-fl-game,jurisdiction:us-fl,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-fl-fwc,source:us-fl-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ga-game,jurisdiction:us-ga,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ga-dnr,source:us-ga-hunting,current_hub,NEEDS_REVIEW,
mapping:us-hi-game-mammals,jurisdiction:us-hi,Game mammals,species_group:ungulates|species_group:exotic-big-game,,UNRESOLVED,authority:us-hi-dofaw,source:us-hi-hunting,current_hub,NEEDS_REVIEW,Island and public-area rules vary
mapping:us-id-big-game,jurisdiction:us-id,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-id-fg,source:us-id-hunting,current_hub,NEEDS_REVIEW,
mapping:us-il-game,jurisdiction:us-il,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-il-dnr,source:us-il-hunting,current_hub,NEEDS_REVIEW,
