species_id,common_name_en,common_name_fr,scientific_name,genus,species,family,order,major_group,taxonomy_source_id,native_status_na,range_summary,verification_status,notes
species:white-tailed-deer,White-tailed deer,Cerf de Virginie,Odocoileus virginianus,Odocoileus,virginianus,Cervidae,Artiodactyla,species_group:deer,source:itis-taxonomy,NATIVE,Widespread Canada and United States,SOURCE_FOUND,
species:mule-deer,Mule deer,Cerf mulet,Odocoileus hemionus,Odocoileus,hemionus,Cervidae,Artiodactyla,species_group:deer,source:itis-taxonomy,NATIVE,Western North America,SOURCE_FOUND,Includes black-tailed forms; subspecies handling needs review
species:moose,Moose,Orignal,Alces alces,Alces,alces,Cervidae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Boreal and northern North America,SOURCE_FOUND,Some taxonomies split North American moose; retain stable ID
species:elk,Elk,Wapiti,Cervus canadensis,Cervus,canadensis,Cervidae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Western and locally restored North America,SOURCE_FOUND,Wapiti is exact alias in North American context
species:caribou,Caribou,Caribou,Rangifer tarandus,Rangifer,tarandus,Cervidae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Northern and boreal North America,SOURCE_FOUND,Population and subspecies distinctions are legally material
species:american-black-bear,American black bear,Ours noir,Ursus americanus,Ursus,americanus,Ursidae,Carnivora,species_group:big-game,source:itis-taxonomy,NATIVE,Canada United States and northern Mexico,SOURCE_FOUND,
species:brown-bear,Brown bear,Ours brun,Ursus arctos,Ursus,arctos,Ursidae,Carnivora,species_group:big-game,source:itis-taxonomy,NATIVE,Alaska western/northern Canada,SOURCE_FOUND,Grizzly is a regional/subspecific common name
species:bighorn-sheep,Bighorn sheep,Mouflon d'Amérique,Ovis canadensis,Ovis,canadensis,Bovidae,Artiodactyla,species_group:wild-sheep,source:itis-taxonomy,NATIVE,Western North America,SOURCE_FOUND,
species:dall-sheep,Dall sheep,Mouflon de Dall,Ovis dalli,Ovis,dalli,Bovidae,Artiodactyla,species_group:wild-sheep,source:itis-taxonomy,NATIVE,Alaska Yukon Northwest Territories and northwest British Columbia,SOURCE_FOUND,Stone sheep taxonomy/identity requires separate review
species:mountain-goat,Mountain goat,Chèvre de montagne,Oreamnos americanus,Oreamnos,americanus,Bovidae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Western mountain ranges of North America,SOURCE_FOUND,
species:pronghorn,Pronghorn,Antilope d'Amérique,Antilocapra americana,Antilocapra,americana,Antilocapridae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Western and central North America,SOURCE_FOUND,Not a true antelope
species:muskox,Muskox,Bœuf musqué,Ovibos moschatus,Ovibos,moschatus,Bovidae,Artiodactyla,species_group:big-game,source:itis-taxonomy,NATIVE,Arctic Canada and Alaska,SOURCE_FOUND,Quota and beneficiary frameworks are jurisdiction-specific
species:polar-bear,Polar bear,Ours blanc,Ursus maritimus,Ursus,maritimus,Ursidae,Carnivora,species_group:big-game,source:itis-taxonomy,NATIVE,Arctic marine regions,SOURCE_FOUND,Harvest is co-managed and not ordinary recreational hunting in many contexts
species:wild-boar,Wild boar,Sanglier,Sus scrofa,Sus,scrofa,Suidae,Artiodactyla,species_group:wild-pig,source:itis-taxonomy,INTRODUCED,Introduced and feral populations across parts of North America,SOURCE_FOUND,Legal treatment varies from game to invasive control
species:mountain-lion,Mountain lion,Couguar,Puma concolor,Puma,concolor,Felidae,Carnivora,species_group:predators,source:itis-taxonomy,NATIVE,Western North America with localized eastern occurrence,SOURCE_FOUND,Cougar and puma are common aliases
species:wild-turkey,Wild turkey,Dindon sauvage,Meleagris gallopavo,Meleagris,gallopavo,Phasianidae,Galliformes,species_group:upland-game-birds,source:itis-taxonomy,NATIVE,United States southern Canada and introductions,SOURCE_FOUND,
species:ruffed-grouse,Ruffed grouse,Gélinotte huppée,Bonasa umbellus,Bonasa,umbellus,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Forested Canada and northern/eastern United States,SOURCE_FOUND,
species:spruce-grouse,Spruce grouse,Tétras du Canada,Canachites canadensis,Canachites,canadensis,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Boreal North America,SOURCE_FOUND,Historic scientific genus Falcipennis
species:sharp-tailed-grouse,Sharp-tailed grouse,Tétras à queue fine,Tympanuchus phasianellus,Tympanuchus,phasianellus,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Grassland and parkland North America,SOURCE_FOUND,
species:greater-sage-grouse,Greater sage-grouse,Tétras des armoises,Centrocercus urophasianus,Centrocercus,urophasianus,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Western sagebrush ecosystems,SOURCE_FOUND,Many populations closed or highly restricted; no general huntability inference
species:dusky-grouse,Dusky grouse,Tétras sombre,Dendragapus obscurus,Dendragapus,obscurus,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Interior western North America,SOURCE_FOUND,Formerly grouped with blue grouse
species:sooty-grouse,Sooty grouse,Tétras fuligineux,Dendragapus fuliginosus,Dendragapus,fuliginosus,Phasianidae,Galliformes,species_group:grouse,source:itis-taxonomy,NATIVE,Pacific coastal North America,SOURCE_FOUND,Formerly grouped with blue grouse
species:willow-ptarmigan,Willow ptarmigan,Lagopède des saules,Lagopus lagopus,Lagopus,lagopus,Phasianidae,Galliformes,species_group:ptarmigan,source:itis-taxonomy,NATIVE,Northern and alpine North America,SOURCE_FOUND,
species:rock-ptarmigan,Rock ptarmigan,Lagopède alpin,Lagopus muta,Lagopus,muta,Phasianidae,Galliformes,species_group:ptarmigan,source:itis-taxonomy,NATIVE,Arctic and alpine North America,SOURCE_FOUND,
species:white-tailed-ptarmigan,White-tailed ptarmigan,Lagopède à queue blanche,Lagopus leucura,Lagopus,leucura,Phasianidae,Galliformes,species_group:ptarmigan,source:itis-taxonomy,NATIVE,Western alpine North America,SOURCE_FOUND,
species:ring-necked-pheasant,Ring-necked pheasant,Faisan de Colchide,Phasianus colchicus,Phasianus,colchicus,Phasianidae,Galliformes,species_group:upland-game-birds,source:itis-taxonomy,INTRODUCED,Introduced broadly in agricultural North America,SOURCE_FOUND,
species:gray-partridge,Gray partridge,Perdrix grise,Perdix perdix,Perdix,perdix,Phasianidae,Galliformes,species_group:upland-game-birds,source:itis-taxonomy,INTRODUCED,Introduced in parts of Canada and United States,SOURCE_FOUND,
species:chukar,Chukar,Perdrix choukar,Alectoris chukar,Alectoris,chukar,Phasianidae,Galliformes,species_group:upland-game-birds,source:itis-taxonomy,INTRODUCED,Introduced in arid western North America,SOURCE_FOUND,
species:northern-bobwhite,Northern bobwhite,Colin de Virginie,Colinus virginianus,Colinus,virginianus,Odontophoridae,Galliformes,species_group:quail,source:itis-taxonomy,NATIVE,Eastern and central United States with limited Canadian occurrence,SOURCE_FOUND,
species:american-woodcock,American woodcock,Bécasse d'Amérique,Scolopax minor,Scolopax,minor,Scolopacidae,Charadriiformes,species_group:migratory-game-birds,source:itis-taxonomy,NATIVE,Eastern North America,SOURCE_FOUND,Federal migratory game bird framework applies
species:wilsons-snipe,Wilson's snipe,Bécassine de Wilson,Gallinago delicata,Gallinago,delicata,Scolopacidae,Charadriiformes,species_group:migratory-game-birds,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Federal migratory game bird framework applies
species:sandhill-crane,Sandhill crane,Grue du Canada,Antigone canadensis,Antigone,canadensis,Gruidae,Gruiformes,species_group:migratory-game-birds,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Current hunting exists only in specified jurisdictions/areas
