source_key,jurisdiction_id,authority_id,scope,title,url,format,legal_standing,licence_status,refresh_model,verification_status,reviewed_at
source:us-fws-migratory,jurisdiction:us-federal,authority:us-fws,FEDERAL_COMPOSITION,Migratory Bird Hunting Regulations,https://www.fws.gov/law/migratory-bird-hunting-regulations,HTML,Federal framework; state/tribal composition required,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-al-hunting,jurisdiction:us-al,authority:us-al-dcnr,STATE_OFFICIAL_HUB,Outdoor Alabama Hunting,https://www.outdooralabama.com/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ak-hunting,jurisdiction:us-ak,authority:us-ak-adfg,STATE_OFFICIAL_HUB,Hunting in Alaska,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.main,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-az-hunting,jurisdiction:us-az,authority:us-az-gfd,STATE_OFFICIAL_HUB,Arizona Hunting,https://www.azgfd.com/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ar-hunting,jurisdiction:us-ar,authority:us-ar-agfc,STATE_OFFICIAL_HUB,Arkansas Hunting,https://www.agfc.com/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ca-hunting,jurisdiction:us-ca,authority:us-ca-cdfw,STATE_OFFICIAL_HUB,California Hunting,https://wildlife.ca.gov/Hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-co-hunting,jurisdiction:us-co,authority:us-co-cpw,STATE_OFFICIAL_HUB,Colorado Hunting,https://cpw.state.co.us/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ct-hunting,jurisdiction:us-ct,authority:us-ct-deep,STATE_OFFICIAL_HUB,Connecticut Wildlife Publications and Forms,https://portal.ct.gov/deep/wildlife/wildlife-publications-and-forms,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-de-hunting,jurisdiction:us-de,authority:us-de-dnrec,STATE_OFFICIAL_HUB,Delaware Hunting,https://dnrec.delaware.gov/fish-wildlife/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-dc-wildlife,jurisdiction:us-dc,authority:us-dc-doee,STATE_OFFICIAL_HUB,Fisheries and Wildlife,https://doee.dc.gov/service/fisheries-and-wildlife,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,NEEDS_REVIEW,2026-09-20
